cluster,cluster_index,horizon,interval_start_at_inference_time,interval_start_when_prediction_relevant,true_count,prediction,lower,upper
H,7,4,2025-05-16,2025-06-13,1.0,0.4902856647968292,0.0,31.32659149169922
H,7,4,2025-05-23,2025-06-20,0.0,0.3666471838951111,0.0,31.202953338623047
H,7,4,2025-05-30,2025-06-27,0.0,0.397743821144104,0.0,31.23404884338379
H,7,4,2025-06-06,2025-07-04,2.0,0.3969903290271759,0.0,31.233295440673828
H,7,4,2025-06-13,2025-07-11,0.0,0.7650493383407593,0.0,31.601354598999023
H,7,4,2025-06-20,2025-07-18,4.0,2.2939658164978027,0.0,33.130271911621094
H,7,4,2025-06-27,2025-07-25,3.0,4.389880180358887,0.0,35.2261848449707
H,7,4,2025-07-04,2025-08-01,21.0,5.176435470581055,0.0,36.01274108886719
H,7,4,2025-07-11,2025-08-08,9.0,2.1268842220306396,0.0,32.96318817138672
H,7,4,2025-07-18,2025-08-15,0.0,1.4953396320343018,0.0,32.33164596557617
H,7,4,2025-07-25,2025-08-22,1.0,0.8642925024032593,0.0,31.700597763061523
H,7,4,2025-08-01,2025-08-29,0.0,1.6113711595535278,0.0,32.44767761230469
H,7,4,2025-08-08,2025-09-05,,2.8312392234802246,0.0,33.667545318603516
H,7,4,2025-08-15,2025-09-12,,5.464397430419922,0.0,23.86960792541504
H,7,4,2025-08-22,2025-09-19,,5.191787242889404,0.0,21.015352249145508
H,7,8,2023-02-17,2023-04-14,0.0,0.0,0.0,2.4659535884857178
H,7,8,2023-02-24,2023-04-21,0.0,0.0,0.0,2.4659535884857178
H,7,8,2023-03-03,2023-04-28,0.0,0.0,0.0,2.4659535884857178
H,7,8,2023-03-10,2023-05-05,0.0,0.0,0.0,2.4659535884857178
H,7,8,2023-03-17,2023-05-12,0.0,0.0,0.0,2.4659535884857178
H,7,8,2023-03-24,2023-05-19,0.0,0.0,0.0,2.4659535884857178
H,7,8,2023-03-31,2023-05-26,0.0,0.0,0.0,2.4659535884857178
H,7,8,2023-04-07,2023-06-02,0.0,0.04064188897609711,0.0,2.5065953731536865
H,7,8,2023-04-14,2023-06-09,0.0,0.28985729813575745,0.0,2.7558109760284424
H,7,8,2023-04-21,2023-06-16,2.0,0.278107225894928,0.0,2.744060754776001
H,7,8,2023-04-28,2023-06-23,0.0,0.19819164276123047,0.0,2.6641452312469482
H,7,8,2023-05-05,2023-06-30,0.0,0.29461950063705444,0.0,2.760573148727417
H,7,8,2023-05-12,2023-07-07,0.0,0.6789222359657288,0.0,3.1448757648468018
H,7,8,2023-05-19,2023-07-14,0.0,0.518215537071228,0.0,2.9841690063476562
H,7,8,2023-05-26,2023-07-21,1.0,0.6898066401481628,0.0,3.1557602882385254
H,7,8,2023-06-02,2023-07-28,1.0,0.9084452390670776,0.0,3.374398708343506
H,7,8,2023-06-09,2023-08-04,1.0,1.7610666751861572,0.12157392501831055,4.227020263671875
H,7,8,2023-06-16,2023-08-11,2.0,3.2496347427368164,1.6101419925689697,5.715588569641113
H,7,8,2023-06-23,2023-08-18,3.0,2.707592010498047,1.0680992603302002,5.173545837402344
H,7,8,2023-06-30,2023-08-25,0.0,3.8133656978607178,2.173872947692871,6.2793192863464355
H,7,8,2023-07-07,2023-09-01,1.0,1.8935035467147827,0.25401079654693604,4.359457015991211
H,7,8,2023-07-14,2023-09-08,3.0,1.5773029327392578,0.0,4.043256759643555
H,7,8,2023-07-21,2023-09-15,3.0,1.7031766176223755,0.06368386745452881,4.169130325317383
H,7,8,2023-07-28,2023-09-22,3.0,5.020308494567871,3.3808157444000244,6.963528156280518
H,7,8,2023-08-04,2023-09-29,1.0,13.375523567199707,11.736030578613281,15.318742752075195
H,7,8,2023-08-11,2023-10-06,4.0,12.076070785522461,10.436577796936035,14.01928997039795
H,7,8,2023-08-18,2023-10-13,0.0,1.6831161975860596,0.04362344741821289,3.626335620880127
H,7,8,2023-08-25,2023-10-20,0.0,0.40697914361953735,0.0,2.350198745727539
H,7,8,2023-09-01,2023-10-27,0.0,0.2517533600330353,0.0,2.1949729919433594
H,7,8,2023-09-08,2023-11-03,0.0,0.4766484498977661,0.0,2.419867992401123
H,7,8,2023-09-15,2023-11-10,0.0,0.5598841905593872,0.0,2.503103733062744
H,7,8,2023-09-22,2023-11-17,0.0,0.6188874244689941,0.0,2.5621070861816406
H,7,8,2023-09-29,2023-11-24,0.0,0.2348504662513733,0.0,2.178070068359375
H,7,8,2023-10-06,2023-12-01,0.0,0.2404506802558899,0.0,1.962343454360962
H,7,8,2023-10-13,2023-12-08,1.0,0.5234776735305786,0.0,2.245370388031006
H,7,8,2023-10-20,2023-12-15,0.0,0.6999610662460327,0.0,2.421854019165039
H,7,8,2023-10-27,2023-12-22,0.0,0.2342999279499054,0.0,1.9561927318572998
H,7,8,2023-11-03,2023-12-29,2.0,0.03683700039982796,0.0,1.7587298154830933
H,7,8,2023-11-10,2024-01-05,0.0,0.08553643524646759,0.0,1.807429313659668
H,7,8,2023-11-17,2024-01-12,0.0,0.17888444662094116,0.0,1.9007773399353027
H,7,8,2023-11-24,2024-01-19,0.0,0.14068114757537842,0.0,1.8625739812850952
H,7,8,2023-12-01,2024-01-26,0.0,0.462982177734375,0.0,2.184875011444092
H,7,8,2023-12-08,2024-02-02,0.0,0.32838529348373413,0.0,2.0502781867980957
H,7,8,2023-12-15,2024-02-09,0.0,0.6697707772254944,0.0,2.3916635513305664
H,7,8,2023-12-22,2024-02-16,0.0,0.2859322428703308,0.0,2.0078251361846924
H,7,8,2023-12-29,2024-02-23,0.0,0.21593910455703735,0.0,1.9378318786621094
H,7,8,2024-01-05,2024-03-01,0.0,0.14779189229011536,0.0,1.8696846961975098
H,7,8,2024-01-12,2024-03-08,0.0,0.1207561045885086,0.0,2.083919048309326
H,7,8,2024-01-19,2024-03-15,0.0,0.025403901934623718,0.0,1.9885668754577637
H,7,8,2024-01-26,2024-03-22,0.0,0.00019347667694091797,0.0,1.9633564949035645
H,7,8,2024-02-02,2024-03-29,0.0,0.0,0.0,1.9631630182266235
H,7,8,2024-02-09,2024-04-05,0.0,0.0,0.0,1.9631630182266235
H,7,8,2024-02-16,2024-04-12,0.0,0.0,0.0,1.9631630182266235
H,7,8,2024-02-23,2024-04-19,0.0,0.0,0.0,1.9631630182266235
H,7,8,2024-03-01,2024-04-26,0.0,0.03281975910067558,0.0,1.9959827661514282
H,7,8,2024-03-08,2024-05-03,0.0,0.0475987009704113,0.0,2.0107617378234863
H,7,8,2024-03-15,2024-05-10,0.0,0.19728857278823853,0.0,2.160451650619507
H,7,8,2024-03-22,2024-05-17,0.0,0.39988869428634644,0.0,2.363051652908325
H,7,8,2024-03-29,2024-05-24,0.0,0.8484885692596436,0.0,2.8116517066955566
H,7,8,2024-04-05,2024-05-31,0.0,1.136994481086731,0.0,3.1001574993133545
H,7,8,2024-04-12,2024-06-07,0.0,1.131751537322998,0.0,3.094914436340332
H,7,8,2024-04-19,2024-06-14,0.0,0.6596170663833618,0.0,2.6227800846099854
H,7,8,2024-04-26,2024-06-21,0.0,0.7279928922653198,0.0,2.6911559104919434
H,7,8,2024-05-03,2024-06-28,0.0,0.6324244141578674,0.0,2.5955874919891357
H,7,8,2024-05-10,2024-07-05,0.0,0.6999281644821167,0.0,2.6630911827087402
H,7,8,2024-05-17,2024-07-12,0.0,0.8833654522895813,0.0,2.8465285301208496
H,7,8,2024-05-24,2024-07-19,1.0,1.3938168287277222,0.0,3.3569798469543457
H,7,8,2024-05-31,2024-07-26,7.0,1.0764095783233643,0.0,3.0395727157592773
H,7,8,2024-06-07,2024-08-02,34.0,1.2436259984970093,0.0,3.206789016723633
H,7,8,2024-06-14,2024-08-09,22.0,1.562440276145935,0.0,3.5256032943725586
H,7,8,2024-06-21,2024-08-16,2.0,1.1240493059158325,0.0,3.087212324142456
H,7,8,2024-06-28,2024-08-23,0.0,1.0747119188308716,0.0,3.037874937057495
H,7,8,2024-07-05,2024-08-30,1.0,1.1322723627090454,0.0,3.095435380935669
