,barangay,cluster,area_km2,lon,lat
0,Apolonio Samson,A,1.9305173315812874,121.00921357552797,14.654649828832548
1,Balingasa,A,0.7651997285190422,121.00161945277824,14.65164189583207
2,Damar,A,0.21046983886967152,121.000877189002,14.646806274494748
3,Del Monte,A,0.5379346805963721,121.01504602729412,14.643261231639311
4,Katipunan,A,0.12915624112197044,121.017176532869,14.656194902820896
5,Manresa,A,0.8279863860943738,121.00075272315931,14.641539192052019
6,Masambong,A,0.3445342850235339,121.0086369892149,14.642127142489063
7,Pag-ibig Sa Nayon,A,0.34537666921191446,120.99670096614065,14.64708317570108
8,Paltok,A,0.6566495580884961,121.0229969305723,14.643556178066452
9,San Antonio,A,0.7448276597366028,121.01695955302033,14.650045667680029
10,San Jose,A,0.26901440323467324,120.99374236245184,14.64060829576631
11,Unang Sigaw,A,0.15379487973766237,121.00135725389026,14.65919235505784
12,Balong Bato,A,0.335905162456691,121.00299123066884,14.663162328649687
13,Alicia,B,0.11197592116455332,121.02493261207277,14.661433542890796
14,Bagong Pag-asa,B,1.263216642448827,121.03490445702005,14.655097236853356
15,Bahay Toro,B,2.9716630677894207,121.02860488266023,14.667461700881992
16,Bungad,B,0.5117894382163012,121.02464867435151,14.649974920425791
17,Phil-Am,B,0.4435500712063289,121.03098253276754,14.64938703838166
18,Project 6,B,1.5278398027430873,121.04070568272078,14.656636573509347
19,Ramon Magsaysay,B,0.3488727142114133,121.02268550690701,14.659115979910528
20,Santo Cristo,B,0.3800142442526746,121.0289580049294,14.659848587791092
21,Vasra,B,0.5460931726260064,121.04635165700415,14.656955558998725
22,Veterans Village,B,0.5115788537362783,121.02402853749206,14.654552729203747
23,West Triangle,B,0.6765965009105372,121.03121656036355,14.643079452542095
24,Commonwealth,C,3.5704066518368784,121.08379803321749,14.700527680407419
25,Holy Spirit,C,3.2643856687106703,121.07798845544768,14.684882987086507
26,Fairview,D,3.1177160124940193,121.06873831464799,14.70245238091782
27,Greater Lagro,D,4.23517419241321,121.06337759576344,14.723630594720174
28,North Fairview,D,2.0064050812046847,121.06112479805434,14.71257174006862
29,Matandang Balara,E,3.3629298256122024,121.08093360638424,14.670449714576566
30,Pansol,E,3.3763257502016337,121.08278318663486,14.656805065056082
31,Santa Lucia,F,0.6421975504872404,121.05085597575327,14.70649845349659
32,Sauyo,F,2.7278856782264516,121.0463793998836,14.694877402176719
33,Bagbag,G,2.0741735754013506,121.03110271036932,14.697232864185398
