,barangay,cluster,area_km2,lon,lat,district
0,Apolonio Samson,A,1.9305173315812876,121.00921357552797,14.654649828832548,6
1,Balingasa,A,0.7651997285190422,121.00161945277824,14.65164189583207,1
2,Damar,A,0.2104698388696715,121.000877189002,14.646806274494748,1
3,Del Monte,A,0.5379346805963721,121.01504602729412,14.643261231639311,1
4,Katipunan,A,0.1291562411219704,121.017176532869,14.656194902820896,1
5,Manresa,A,0.8279863860943738,121.00075272315932,14.64153919205202,1
6,Masambong,A,0.3445342850235339,121.0086369892149,14.642127142489064,1
7,Pag-ibig Sa Nayon,A,0.3453766692119144,120.99670096614064,14.64708317570108,1
8,Paltok,A,0.6566495580884961,121.0229969305723,14.643556178066452,1
9,San Antonio,A,0.7448276597366028,121.01695955302031,14.650045667680027,1
10,San Jose,A,0.2690144032346732,120.99374236245184,14.64060829576631,1
11,Unang Sigaw,A,0.1537948797376623,121.00135725389026,14.65919235505784,6
12,Balong Bato,A,0.335905162456691,121.00299123066884,14.663162328649689,6
13,Alicia,B,0.1119759211645533,121.02493261207276,14.661433542890796,1
14,Bagong Pag-asa,B,1.263216642448827,121.03490445702003,14.655097236853356,1
15,Bahay Toro,B,2.9716630677894207,121.02860488266025,14.667461700881992,1
16,Bungad,B,0.5117894382163012,121.02464867435152,14.649974920425793,1
17,Phil-Am,B,0.4435500712063289,121.03098253276754,14.64938703838166,1
18,Project 6,B,1.5278398027430873,121.04070568272078,14.656636573509347,1
19,Ramon Magsaysay,B,0.3488727142114133,121.022685506907,14.659115979910528,1
20,Santo Cristo,B,0.3800142442526746,121.0289580049294,14.659848587791092,1
21,Vasra,B,0.5460931726260064,121.04635165700417,14.656955558998725,1
22,Veterans Village,B,0.5115788537362783,121.02402853749206,14.654552729203749,1
23,West Triangle,B,0.6765965009105372,121.03121656036356,14.643079452542096,1
24,Commonwealth,C,3.5704066518368784,121.08379803321748,14.70052768040742,2
25,Holy Spirit,C,3.2643856687106703,121.07798845544768,14.684882987086509,2
26,Fairview,D,3.1177160124940198,121.068738314648,14.70245238091782,5
27,Greater Lagro,D,4.23517419241321,121.06337759576344,14.723630594720174,5
28,North Fairview,D,2.0064050812046847,121.06112479805434,14.71257174006862,5
29,Matandang Balara,E,3.3629298256122024,121.08093360638424,14.670449714576566,3
30,Pansol,E,3.3763257502016337,121.08278318663486,14.656805065056082,3
31,Santa Lucia,F,0.6421975504872404,121.05085597575328,14.70649845349659,5
32,Sauyo,F,2.727885678226452,121.0463793998836,14.69487740217672,6
33,Bagbag,G,2.0741735754013506,121.03110271036932,14.697232864185398,5
34,Talipapa,G,1.5694388439406717,121.02507757725635,14.685413235068545,6
35,Tandang Sora,G,3.85920453855889,121.0400756684426,14.682062803972023,6
36,Damayan,H,0.2065492002918353,121.01394717330702,14.637848326567129,1
37,N.S. Amoranto (Gintong Silahis),H,0.2165396307993126,120.99357360763943,14.632410309160196,1
38,Kalusugan,H,0.4265826667528319,121.02135970361115,14.622921168073267,4
39,Lourdes,H,0.7520445070214695,121.00211257507544,14.625826486526307,1
40,Maharlika,H,0.3864932891406504,120.99674798963368,14.633387625489648,1
41,Mariblo,H,0.13288384159973,121.0158518040208,14.634643118506716,1
42,Santo Domingo (Matalahib),H,0.9101318823576288,121.00770042567645,14.629706981452092,1
43,Nayong Kanluran,H,0.1427992592849,121.02488504881116,14.640130159738288,1
44,Paang Bundok,H,0.1567685383716584,120.99197784122347,14.628122284612235,1
45,Paligsahan,H,0.5848507211732967,121.02279652585928,14.632379134709565,4
46,Paraiso,H,0.1549675233034122,121.01754946643533,14.637856189830838,1
47,Roxas,H,0.4533282487769289,121.0218711475355,14.62762834697364,4
48,Saint Peter,H,0.2667294017544951,120.99984437849456,14.63490598878286,1
49,Salvacion,H,0.2081696333945281,120.99395712137856,14.62653379118105,1
