cluster,cluster_index,horizon,interval_start_at_inference_time,interval_start_when_prediction_relevant,true_count,prediction,lower,upper,forecast_start
A,0,2,2024-02-09,2024-02-23,0.0,0.12491458931476447,0.0,3.541419154637202,2024-02-23
A,0,2,2024-02-16,2024-03-01,0.0,0.04956766363935978,0.0,3.466072228961797,2024-03-01
A,0,2,2024-02-23,2024-03-08,0.0,0.10478952039643395,0.0,3.5212940857188713,2024-03-08
A,0,2,2024-03-01,2024-03-15,0.0,0.03437033926103741,0.0,3.450874904583475,2024-03-15
A,0,2,2024-03-08,2024-03-22,0.0,0.05089625756001716,0.0,3.4674008228824547,2024-03-22
A,0,2,2024-03-15,2024-03-29,0.0,0.029414190381204106,0.0,3.4459187557036417,2024-03-29
A,0,2,2024-03-22,2024-04-05,0.0,0.06139410987752929,0.0,3.4778986751999668,2024-04-05
A,0,2,2024-03-29,2024-04-12,0.0,0.07061568780876744,0.0,3.487120253131205,2024-04-12
A,0,2,2024-04-05,2024-04-19,0.0,0.08543404542074375,0.0,3.5019386107431814,2024-04-19
A,0,2,2024-04-12,2024-04-26,0.0,0.04878435985463428,0.0,3.465288925177072,2024-04-26
A,0,2,2024-04-19,2024-05-03,1.0,0.9333633967082405,0.0,4.349867962030678,2024-05-03
A,0,2,2024-04-26,2024-05-10,0.0,0.11651967331412026,0.0,3.533024238636558,2024-05-10
A,0,2,2024-05-03,2024-05-17,0.0,0.19600144610818254,0.0,3.6125060114306202,2024-05-17
A,0,2,2024-05-10,2024-05-24,1.0,0.2968859549462724,0.0,3.71339052026871,2024-05-24
A,0,2,2024-05-17,2024-05-31,0.0,0.43147969553780063,0.0,3.847984260860238,2024-05-31
A,0,2,2024-05-24,2024-06-07,0.0,0.7996776254853063,0.0,4.216182190807744,2024-06-07
A,0,2,2024-05-31,2024-06-14,0.0,0.735972794396349,0.0,4.1524773597187865,2024-06-14
A,0,2,2024-06-07,2024-06-21,0.0,0.4669540579936442,0.0,3.8834586233160815,2024-06-21
A,0,2,2024-06-14,2024-06-28,0.0,0.20829553161147876,0.0,3.6248000969339165,2024-06-28
A,0,2,2024-06-21,2024-07-05,1.0,0.58503143287866,0.0,4.001535998201097,2024-07-05
A,0,2,2024-06-28,2024-07-12,0.0,0.18334219343709338,0.0,3.599846758759531,2024-07-12
A,0,2,2024-07-05,2024-07-19,2.0,0.4264818136439387,0.0,3.8429863789663763,2024-07-19
A,0,2,2024-07-12,2024-07-26,5.0,0.4869163157673337,0.0,3.903420881089771,2024-07-26
A,0,2,2024-07-19,2024-08-02,8.0,2.7957316324924295,0.45207451039216506,6.2122361978148675,2024-08-02
A,0,2,2024-07-26,2024-08-09,18.0,1.6713231905075143,0.0,5.087827755829952,2024-08-09
A,0,2,2024-08-02,2024-08-16,2.0,2.1917132589437514,0.0,5.608217824266189,2024-08-16
A,0,2,2024-08-09,2024-08-23,1.0,2.763074762370233,0.41941764026996875,7.276158446602899,2024-08-23
A,0,2,2024-08-16,2024-08-30,1.0,1.8178268238387794,0.0,7.02209519134635,2024-08-30
A,0,2,2024-08-23,2024-09-06,1.0,2.234887754783014,0.0,18.5635645642755,2024-09-06
A,0,2,2024-08-30,2024-09-13,2.0,2.6256892233860762,0.2820321012858118,18.95436603287856,2024-09-13
A,0,2,2024-09-06,2024-09-20,2.0,1.9930063655237096,0.0,18.321683175016194,2024-09-20
A,0,2,2024-09-13,2024-09-27,0.0,1.8248424596546204,0.0,18.153519269147104,2024-09-27
A,0,2,2024-09-20,2024-10-04,0.0,1.0631658981565046,0.0,17.39184270764899,2024-10-04
A,0,2,2024-09-27,2024-10-11,0.0,1.180476612963973,0.0,17.509153422456457,2024-10-11
A,0,2,2024-10-04,2024-10-18,0.0,0.49712584711700497,0.0,16.82580265660949,2024-10-18
